,续航相关销量,续航客户偏好,平均电池容量,平均电池容量,电池相关销量,电池效率,价格相关销量,平均利润率,驱动相关销量,性能评分,能源效率,智能相关销量,平均技术评分,充电相关销量,平均市场接受度
续航相关销量,1.0,0.15564423563578092,0.11174741739311404,-0.13623349104525098,1.0,0.3483785292121329,1.0,0.307204021634564,1.0,,,1.0,0.7900586088482777,1.0,-0.04376570161365335
续航客户偏好,0.15564423563578092,1.0,0.2535444645657386,-0.016101655384885425,0.15564423563578123,0.08480169609679565,0.15564423563578123,0.04254494246961241,0.15564423563578123,,,0.15564423563578123,0.16177762599275944,0.15564423563578123,-0.1250471748208676
平均电池容量,0.11174741739311404,0.2535444645657386,1.0,0.4642204128914907,0.11174741739311761,0.458371807289415,0.11174741739311761,0.043088809520340235,0.11174741739311761,,,0.11174741739311761,0.20943665278530438,0.11174741739311761,0.13641410053408842
平均电池容量,-0.13623349104525098,-0.016101655384885425,0.4642204128914907,1.0,-0.13623349104525176,0.04520373171451655,-0.13623349104525176,-0.009100017693556157,-0.13623349104525176,,,-0.13623349104525176,-0.10908355470877322,-0.13623349104525176,0.02102556964017993
电池相关销量,1.0,0.15564423563578123,0.11174741739311761,-0.13623349104525176,1.0,0.3483785292121329,1.0,0.307204021634564,1.0,,,1.0,0.7900586088482777,1.0,-0.04376570161365335
电池效率,0.3483785292121329,0.08480169609679565,0.458371807289415,0.04520373171451655,0.3483785292121329,1.0,0.3483785292121301,0.15448755474147524,0.3483785292121301,,,0.3483785292121301,0.3281148871306685,0.3483785292121301,0.039097126784383485
价格相关销量,1.0,0.15564423563578123,0.11174741739311761,-0.13623349104525176,1.0,0.3483785292121301,1.0,0.307204021634564,1.0,,,1.0,0.7900586088482777,1.0,-0.04376570161365335
平均利润率,0.307204021634564,0.04254494246961241,0.043088809520340235,-0.009100017693556157,0.307204021634564,0.15448755474147524,0.307204021634564,1.0,0.30720402163456395,,,0.30720402163456395,0.3826595888435531,0.30720402163456395,0.045742526617018844
驱动相关销量,1.0,0.15564423563578123,0.11174741739311761,-0.13623349104525176,1.0,0.3483785292121301,1.0,0.30720402163456395,1.0,,,1.0,0.7900586088482777,1.0,-0.04376570161365335
性能评分,,,,,,,,,,,,,,,
能源效率,,,,,,,,,,,,,,,
智能相关销量,1.0,0.15564423563578123,0.11174741739311761,-0.13623349104525176,1.0,0.3483785292121301,1.0,0.30720402163456395,1.0,,,1.0,0.7900586088482777,1.0,-0.04376570161365335
平均技术评分,0.7900586088482777,0.16177762599275944,0.20943665278530438,-0.10908355470877322,0.7900586088482777,0.3281148871306685,0.7900586088482777,0.3826595888435531,0.7900586088482777,,,0.7900586088482777,1.0,0.790058608848279,0.015724156915181354
充电相关销量,1.0,0.15564423563578123,0.11174741739311761,-0.13623349104525176,1.0,0.3483785292121301,1.0,0.30720402163456395,1.0,,,1.0,0.790058608848279,1.0,-0.04376570161365335
平均市场接受度,-0.04376570161365335,-0.1250471748208676,0.13641410053408842,0.02102556964017993,-0.04376570161365335,0.039097126784383485,-0.04376570161365335,0.045742526617018844,-0.04376570161365335,,,-0.04376570161365335,0.015724156915181354,-0.04376570161365335,1.0
